kode;urusankd;programkd;kode2;nama;level
"0.00.00.10";"0.00";"00";"10";"Pendapatan";0
"0.00.00.21";"0.00";"00";"21";"Belanja Tidak Langsung";0
"0.00.00.31";"0.00";"00";"31";"Pembiayaan Penerimaan";0
"0.00.00.32";"0.00";"00";"32";"Pembiayaan Pengeluaran";0
"0.00.00.33";"0.00";"00";"33";"Pembiayaan Lain-lain";0
"0.00.01.01";"0.00";"01";"01";"Penyediaan jasa surat menyurat";0
"0.00.01.02";"0.00";"01";"02";"Penyediaan jasa komunikasi, sumber daya air dan listrik";0
"0.00.01.03";"0.00";"01";"03";"Penyediaan jasa peralatan dan perlengkapan kantor";0
"0.00.01.04";"0.00";"01";"04";"Penyediaan jasa jaminan pemeliharaan kesehatan PNS";0
"0.00.01.05";"0.00";"01";"05";"Penyediaan jasa jaminan barang milik daerah";0
"0.00.01.06";"0.00";"01";"06";"Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional";0
"0.00.01.07";"0.00";"01";"07";"Penyediaan jasa administrasi keuangan";0
"0.00.01.08";"0.00";"01";"08";"Penyediaan jasa kebersihan kantor";0
"0.00.01.09";"0.00";"01";"09";"Penyediaan jasa perbaikan peralatan kerja";0
"0.00.01.10";"0.00";"01";"10";"Penyediaan alat tulis kantor";0
"0.00.01.11";"0.00";"01";"11";"Penyediaan barang cetakan dan penggandaan";0
"0.00.01.12";"0.00";"01";"12";"Penyediaan komponen instalasi listrik/penerangan bangunan kantor";0
"0.00.01.13";"0.00";"01";"13";"Penyediaan peralatan dan perlengkapan kantor";0
"0.00.01.14";"0.00";"01";"14";"Penyediaan peralatan rumah tangga";0
"0.00.01.15";"0.00";"01";"15";"Penyediaan bahan bacaan dan peraturan perundang-undangan";0
"0.00.01.16";"0.00";"01";"16";"Penyediaan bahan logistik kantor";0
"0.00.01.17";"0.00";"01";"17";"Penyediaan makanan dan minuman";0
"0.00.01.18";"0.00";"01";"18";"Rapat-rapat kordinasi dan konsultasi ke luar daerah";0
"0.00.01.19";"0.00";"01";"19";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS";0
"0.00.01.20";"0.00";"01";"20";"Penyediaan Jasa Penyediaan Barang dan Jasa";0
"0.00.01.21";"0.00";"01";"21";"Penyediaan Jasa Sewa Gedung";0
"0.00.01.22";"0.00";"01";"22";"Penyediaan Jasa Sewa Sarana Mobilitas";0
"0.00.01.23";"0.00";"01";"23";"Penyediaan Jasa Iklan/Media Cetak";0
"0.00.01.24";"0.00";"01";"24";"Penyediaan Jasa Medis";0
"0.00.01.25";"0.00";"01";"25";"Penyediaan Jasa Pengamanan Kantor";0
"0.00.01.26";"0.00";"01";"26";"Penyediaan Makanan dan Minuman Pasien";0
"0.00.01.27";"0.00";"01";"27";"Peningkatan Pelayanan Kesehatan di rumah sakit";0
"0.00.01.28";"0.00";"01";"28";"Extrafooding Petugas Administrasi Non PNS";0
"0.00.01.32";"0.00";"01";"32";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS Kel Bojong Nangka Kec Kelapa Dua";0
"0.00.01.33";"0.00";"01";"33";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS Kel Bencongan Indah Kec Kelapa Dua";0
"0.00.01.34";"0.00";"01";"34";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS Kel Pakulonan Barat Kec Kelapa Dua";0
"0.00.01.35";"0.00";"01";"35";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS Kel Kelapa Dua Kec Kelapa Dua";0
"0.00.01.36";"0.00";"01";"36";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS Kel Bencongan Kec Kelapa Dua";0
"0.00.01.37";"0.00";"01";"37";"Penyediaan Jasa Administrasi / Teknis Pendukung Perkantoran Non PNS Kel Kuta Bumi Kec Pasar Kemis";0
"0.00.01.38";"0.00";"01";"38";"Inventarisasi Data Kepegawaian";0
"0.00.01.39";"0.00";"01";"39";"Penyediaan barang berharga Setda";0
"0.00.01.50";"0.00";"01";"50";"Pindahan Kantor UPT Laboratorium Lingkungan Kabupaten Tangerang";0
"0.00.01.52";"0.00";"01";"52";"Honorarium Operasional Mobil IPA";0
"0.00.01.53";"0.00";"01";"53";"Rapat Evaluasi Kinerja SKPD";0
"0.00.02.01";"0.00";"02";"01";"Pembangunan rumah jabatan";0
"0.00.02.02";"0.00";"02";"02";"Pembangunan rumah dinas";0
"0.00.02.03";"0.00";"02";"03";"Pembangunan gedung kantor";0
"0.00.02.04";"0.00";"02";"04";"Pengadaan mobil jabatan";0
"0.00.02.05";"0.00";"02";"05";"Pengadaan kendaraan dinas/operasional";0
"0.00.02.06";"0.00";"02";"06";"Pengadaan perlengkapan rumah jabatan/dinas";0
"0.00.02.07";"0.00";"02";"07";"Pengadaan perlengkapan gedung kantor";0
"0.00.02.08";"0.00";"02";"08";"Pengadaan peralatan rumah jabatan/dinas";0
"0.00.02.09";"0.00";"02";"09";"Pengadaan peralatan gedung kantor";0
"0.00.02.10";"0.00";"02";"10";"Pengadaan mebeleur";0
"0.00.02.11";"0.00";"02";"11";"Pengadaan Alat-alat Kebersihan";0
"0.00.02.12";"0.00";"02";"12";"Pengadaan Gedung Kantor";0
"0.00.02.20";"0.00";"02";"20";"Pemeliharaan rutin/berkala rumah jabatan";0
"0.00.02.21";"0.00";"02";"21";"Pemeliharaan rutin/berkala rumah dinas";0
"0.00.02.22";"0.00";"02";"22";"Pemeliharaan rutin/berkala gedung kantor";0
"0.00.02.23";"0.00";"02";"23";"Pemeliharaan rutin/berkala mobil jabatan";0
