kode;nama;level;issummary;defsign
"4";"PENDAPATAN DAERAH";0;1;1;
"4.1";"Pendapatan Asli Daerah";1;1;1;
"4.1.1";"Hasil Pajak Daerah";2;1;1;
"4.1.1.01";"Pajak Hotel";3;1;1;
"4.1.1.01.01";"Hotel Bintang Lima Berlian";4;0;1;
"4.1.1.01.02";"Hotel Bintang Lima  ";4;0;1;
"4.1.1.01.03";"Hotel Bintang Empat";4;0;1;
"4.1.1.01.04";"Hotel Bintang Tiga";4;0;1;
"4.1.1.01.05";"Hotel Bintang Dua";4;0;1;
"4.1.1.01.06";"Hotel Bintang Satu";4;0;1;
"4.1.1.01.07";"Hotel Melati Tiga";4;0;1;
"4.1.1.01.08";"Hotel Melati Dua";4;0;1;
"4.1.1.01.09";"Hotel Melati Satu";4;0;1;
"4.1.1.01.10";"Motel";4;0;1;
"4.1.1.01.11";"Cottage";4;0;1;
"4.1.1.01.12";"Losmen/Rumah Penginapan/Pesanggrahan/Hostel/Rumah Kost";4;0;1;
"4.1.1.01.13";"Wisma Pariwisata";4;0;1;
"4.1.1.02";"Pajak Restoran";3;1;1;
"4.1.1.02.01";"Restoran";4;0;1;
"4.1.1.02.02";"Rumah Makan";4;0;1;
"4.1.1.02.03";"Cafe";4;0;1;
"4.1.1.02.04";"Kantin";4;0;1;
"4.1.1.02.05";"Katering";4;0;1;
"4.1.1.03";"Pajak Hiburan";3;1;1;
"4.1.1.03.01";"Tontonan Film/Bioskop";4;0;1;
"4.1.1.03.02";"Pagelaran Kesenian/Musik/Tari/Busana";4;0;1;
"4.1.1.03.03";"Kontes Kecantikan";4;0;1;
"4.1.1.03.04";"Kontes Binaraga";4;0;1;
"4.1.1.03.05";"Pameran";4;0;1;
"4.1.1.03.06";"Diskotik";4;0;1;
"4.1.1.03.07";"Karaoke";4;0;1;
"4.1.1.03.08";"Klub Malam";4;0;1;
"4.1.1.03.09";"Sirkus/Akrobat/Sulap";4;0;1;
"4.1.1.03.10";"Permainan Bilyar";4;0;1;
"4.1.1.03.11";"Permainan Golf";4;0;1;
"4.1.1.03.12";"Permainan Bowling";4;0;1;
"4.1.1.03.13";"Pacuan Kuda";4;0;1;
"4.1.1.03.14";"Balap Kendaraan Bermotor";4;0;1;
"4.1.1.03.15";"Permainan Ketangkasan";4;0;1;
"4.1.1.03.16";"Panti Pijat/Refleksi";4;0;1;
"4.1.1.03.17";"Mandi Uap/Spa";4;0;1;
"4.1.1.03.18";"Pusat Kebugaran";4;0;1;
"4.1.1.03.19";"Pertandingan Olahraga";4;0;1;
