kode;urusan;kode2;nama
"1.01.01";"1.01";"01";"Dinas Pendidikan "
"1.02.01";"1.02";"01";"Dinas Kesehatan"
"1.02.02";"1.02";"02";"Rumah Sakit Umum Daerah"
"1.02.03";"1.02";"03";"Rumas Sakit Umum Daerah Balaraja"
"1.03.01";"1.03";"01";"Dinas Bina Marga dan Pengairan"
"1.03.02";"1.03";"02";"Dinas Bangunan dan Permukiman"
"1.03.03";"1.03";"03";"Dinas Bina Marga dan Sumber Daya Air"
"1.04.01";"1.04";"01";"Dinas Penanggulangan Bencana dan Bahaya Kebakaran"
"1.04.02";"1.04";"02";"Dinas Cipta Karya"
"1.04.03";"1.04";"03";"Badan Penanggulangan Bencana Daerah"
"1.05.01";"1.05";"01";"Dinas Tata Ruang "
"1.06.01";"1.06";"01";"Badan Perencanaan Pembangunan Daerah"
"1.07.01";"1.07";"01";"Dinas Perhubungan, Komunikasi dan Informatika"
"1.07.02";"1.07";"02";"Dinas Perhubungan"
"1.08.01";"1.08";"01";"Badan Lingkungan Hidup Daerah"
"1.08.04";"1.08";"04";"Dinas Kebersihan, Pertamanan dan Pemakaman"
"1.08.05";"1.08";"05";"Dinas Kebersihan dan Pertamanan"
"1.08.06";"1.08";"06";"Kantor Pemakaman Daerah"
"1.10.01";"1.10";"01";"Dinas Kependududkan dan Catatan Sipil "
"1.10.02";"1.10";"02";"Dinas Administrasi Kependudukan dan Pencatatan Sipil"
"1.10.03";"1.10";"03";"Badan Kependudukan dan Keluarga Berencana Daerah"
"1.12.01";"1.12";"01";"Badan KB dan Pemberdayaan Perempuan"
"1.13.01";"1.13";"01";"Dinas Kesejahteraan Sosial "
"1.13.02";"1.13";"02";"Badan Narkotika"
"1.14.01";"1.14";"01";"Dinas Tenaga Kerja dan Transmigrasi"
"1.15.01";"1.15";"01";"Dinas Koperasi dan UKM "
"1.16.01";"1.16";"01";"Badan Penanaman Modal Daerah"
"1.18.01";"1.18";"01";"Dinas Pemuda, Olah Raga, Kebudayaan dan Pariwisata "
"1.19.03";"1.19";"03";"Satuan Polisi Pamong Praja "
"1.19.04";"1.19";"04";"Kantor Kesatuan Bangsa dan Politik"
"1.20.01";"1.20";"01";"DPRD"
"1.20.02";"1.20";"02";"Bupati dan Wakil Bupati"
"1.20.03";"1.20";"03";"Sekretariat Daerah"
"1.20.04";"1.20";"04";"Sekretariat DPRD"
"1.20.05";"1.20";"05";"Dinas Pendapatan Daerah"
"1.20.06";"1.20";"06";"Inspektorat Kabupaten"
"1.20.07";"1.20";"07";"Badan Pelayanan Perijinan Terpadu (BP2T)"
"1.20.08";"1.20";"08";"Badan Kepegawaian Daerah"
"1.20.09";"1.20";"09";"Badan Pengelola Keuangan dan Aset Daerah"
"1.20.10";"1.20";"10";"Kecamatan Tigaraksa"
"1.20.11";"1.20";"11";"Kecamatan Cikupa"
"1.20.12";"1.20";"12";"Kecamatan Panongan"
"1.20.13";"1.20";"13";"Kecamatan Curug"
"1.20.14";"1.20";"14";"Kecamatan Legok"
"1.20.15";"1.20";"15";"Kecamatan Serpong"
"1.20.16";"1.20";"16";"Kecamatan Pasar Kemis"
"1.20.17";"1.20";"17";"Kecamatan Balaraja"
"1.20.18";"1.20";"18";"Kecamatan Kresek"
"1.20.19";"1.20";"19";"Kecamatan Kronjo"
"1.20.20";"1.20";"20";"Kecamatan Mauk"
"1.20.21";"1.20";"21";"Kecamatan Rajeg"
"1.20.22";"1.20";"22";"Kecamatan Sepatan"
"1.20.23";"1.20";"23";"Kecamatan Teluknaga"
"1.20.24";"1.20";"24";"Kecamatan Ciputat"
"1.20.25";"1.20";"25";"Kecamatan Pondok Aren"
"1.20.26";"1.20";"26";"Kecamatan Cisoka"
"1.20.27";"1.20";"27";"Kecamatan Pakuhaji"
"1.20.28";"1.20";"28";"Kecamatan Pamulang"
"1.20.29";"1.20";"29";"Kecamatan Kosambi"
"1.20.30";"1.20";"30";"Kecamatan Pagedangan"
"1.20.31";"1.20";"31";"Kecamatan Jambe"
"1.20.32";"1.20";"32";"Kecamatan Jayanti"
"1.20.33";"1.20";"33";"Kecamatan Kemiri"
"1.20.34";"1.20";"34";"Kecamatan Sukadiri"
"1.20.35";"1.20";"35";"Kecamatan Cisauk"
"1.20.36";"1.20";"36";"Kecamatan Ciputat Timur"
"1.20.37";"1.20";"37";"Kecamatan Serpong Utara"
"1.20.38";"1.20";"38";"Kecamatan Setu"
"1.20.39";"1.20";"39";"Kecamatan Sepatan Timur"
"1.20.40";"1.20";"40";"Kecamatan Sindang Jaya"
"1.20.41";"1.20";"41";"Kecamatan Kelapa Dua"
